2025-10-02 21:26:28.198 [main] INFO  com.satan.life.analytics.AnalyticsApplication - The following 1 profile is active: "dev"
2025-10-02 21:26:28.689 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-10-02 21:26:28.692 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-10-02 21:26:28.714 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2025-10-02 21:26:28.925 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=1de7a185-a7aa-38f7-bafe-8ca3890b9149
2025-10-02 21:26:29.321 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
2025-10-02 21:26:29.322 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.23] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.38]
2025-10-02 21:26:29.322 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.23] using APR version [1.7.0].
2025-10-02 21:26:29.322 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false].
2025-10-02 21:26:29.323 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2025-10-02 21:26:29.326 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1c  28 May 2019]
2025-10-02 21:26:29.334 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-10-02 21:26:29.334 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.79]
2025-10-02 21:26:29.430 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/analytics] - Initializing Spring embedded WebApplicationContext
2025-10-02 21:26:29.430 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1218 ms
2025-10-02 21:26:30.646 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 8d0a4923-8e67-46ae-bee0-eb2758aef970

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2025-10-02 21:26:30.775 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@29d81c22, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@18d396eb, org.springframework.security.web.context.SecurityContextPersistenceFilter@b386a17, org.springframework.security.web.header.HeaderWriterFilter@2ec23ec3, org.springframework.security.web.csrf.CsrfFilter@41bbdd8a, org.springframework.security.web.authentication.logout.LogoutFilter@6c2be147, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@3a47bf0e, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@fc21ff4, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@2bee1c13, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@15549dd7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2213854b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7b1d2f65, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1859b996, org.springframework.security.web.session.SessionManagementFilter@556843a5, org.springframework.security.web.access.ExceptionTranslationFilter@1c36ab22, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5cf1bbd3]
2025-10-02 21:26:30.946 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path '/analytics'
2025-10-02 21:26:30.959 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2025-10-02 21:26:30.959 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2025-10-02 21:26:31.084 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP satan-life-analytics 192.168.10.2:8083 register finished
2025-10-02 21:26:31.154 [main] INFO  com.satan.life.analytics.AnalyticsApplication - Started AnalyticsApplication in 4.835 seconds (JVM running for 5.407)
2025-10-02 21:26:31.166 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - [Nacos Config] Listening config: dataId=satan-life-analytics, group=DEFAULT_GROUP
2025-10-02 21:26:31.167 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - [Nacos Config] Listening config: dataId=satan-life-analytics-dev.yml, group=DEFAULT_GROUP
2025-10-02 21:26:31.169 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - [Nacos Config] Listening config: dataId=satan-life-analytics.yml, group=DEFAULT_GROUP
