2025-10-02 23:53:49.228 [main] INFO  com.satan.life.settings.SettingsApplication - The following 1 profile is active: "dev"
2025-10-02 23:53:49.895 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-10-02 23:53:49.897 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-10-02 23:53:49.918 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
2025-10-02 23:53:50.109 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=81db5b53-6869-3dfe-9cb2-5ef781ea5647
2025-10-02 23:53:50.502 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8008 (http)
2025-10-02 23:53:50.503 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.23] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.38]
2025-10-02 23:53:50.503 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.23] using APR version [1.7.0].
2025-10-02 23:53:50.503 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false].
2025-10-02 23:53:50.503 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2025-10-02 23:53:50.506 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1c  28 May 2019]
2025-10-02 23:53:50.514 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-10-02 23:53:50.515 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.79]
2025-10-02 23:53:50.616 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/settings] - Initializing Spring embedded WebApplicationContext
2025-10-02 23:53:50.616 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1373 ms
2025-10-02 23:53:51.965 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: e59d5068-44bc-49ee-9a7a-45a4b67420ad

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2025-10-02 23:53:52.078 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 19 endpoint(s) beneath base path '/actuator'
2025-10-02 23:53:52.092 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2eb9c7ad, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4529048e, org.springframework.security.web.context.SecurityContextPersistenceFilter@477e5b69, org.springframework.security.web.header.HeaderWriterFilter@7e58b0f6, org.springframework.web.filter.CorsFilter@6addfa22, org.springframework.security.web.csrf.CsrfFilter@32ae11c9, org.springframework.security.web.authentication.logout.LogoutFilter@128ca7af, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5e25085, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@16b2d182, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@74b521c, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@64d1f549, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@74a991cf, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6097f225, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@672f69f7, org.springframework.security.web.session.SessionManagementFilter@54ddd7e4, org.springframework.security.web.access.ExceptionTranslationFilter@6dd1f239, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@d60cbad]
2025-10-02 23:53:52.311 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8008 (http) with context path '/settings'
2025-10-02 23:53:52.323 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2025-10-02 23:53:52.323 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2025-10-02 23:53:52.450 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP satan-life-settings 192.168.10.2:8008 register finished
2025-10-02 23:53:52.517 [main] INFO  com.satan.life.settings.SettingsApplication - Started SettingsApplication in 5.236 seconds (JVM running for 5.837)
2025-10-02 23:53:52.533 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - [Nacos Config] Listening config: dataId=satan-life-settings-dev.yml, group=DEFAULT_GROUP
2025-10-02 23:53:52.534 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - [Nacos Config] Listening config: dataId=satan-life-settings.yml, group=DEFAULT_GROUP
2025-10-02 23:53:52.534 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - [Nacos Config] Listening config: dataId=satan-life-settings, group=DEFAULT_GROUP
2025-10-02 23:53:52.898 [RMI TCP Connection(2)-192.168.0.107] INFO  o.a.c.c.C.[Tomcat].[localhost].[/settings] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-10-02 23:53:52.898 [RMI TCP Connection(2)-192.168.0.107] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-10-02 23:53:52.900 [RMI TCP Connection(2)-192.168.0.107] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-10-02 23:53:52.900 [RMI TCP Connection(3)-192.168.0.107] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-10-02 23:53:53.050 [RMI TCP Connection(3)-192.168.0.107] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
